Administrative Division;"2010
[1]";National Share (%);"2000
[3]";"1990
[4]";"1982
[5]";"1964
[6]";"1954
[7]";"1947
[8]";"1936-37
[9]";"1928
[10]";"1912
[11]"
* China*;*1,339,724,852*;100;*1,265,830,000*;*1,160,017,381*;*1,031,882,511*;*723,070,269*;*601,938,035*;*457,111,000*;*479,085,000*;*474,786,000*;*411,643,000*
Guangdong;104303132;7.8;85225007;62829236;59299220;42800849;34770059;27210000;32453000;32428000;28011000
Shandong;95793065;7.2;89971789;84392827;74419054;55519038;48876548;38865000;38100000;28672000;30989000
Henan;94023567;7;91236854;85509535;74422739;50325511;44214594;29654000;34290000;30566000;28518000
Sichuan;80418200;6;82348296;107218173;99713310;67956490;62303999;47437000;52706000;47992000;48130000
Jiangsu;78659903;5.9;73043577;67056519;60521114;44504608;41252192;36080000;36469000;34126000;32283000
Hebei;71854202;5.4;66684419;61082439;53005876;45687781;35984644;28719000;28644000;31232000;26658000
Hunan;65683722;4.9;63274173;60659754;54008851;37182286;33226954;25558000;28294000;31501000;27617000
Anhui;59500510;4.5;58999948;56180813;49665724;31241657;30343637;22462000;23354000;21715000;16229000
Hubei;57237740;4.3;59508870;53969210;47804150;33709344;27789693;20976000;25516000;26699000;29590000
Zhejiang;54426891;4.1;45930651;41445930;38884603;28318573;22865747;19959000;21231000;20643000;21440000
Guangxi;46026629;3.5;43854538;42245765;36420960;20845017;19560822;14636000;13385000;13648000;7879000
Yunnan;45966239;3.4;42360089;36972610;32553817;20509525;17472737;9066000;12042000;13821000;9468000
Jiangxi;44567475;3.3;40397598;37710281;33184827;21068019;16772865;12507000;15805000;20323000;23988000
Liaoning;43746323;3.3;41824412;39459697;35721693;26946200;18545147;10007000;15254000;15233000;12133000
Heilongjiang;38312224;2.9;36237576;35214873;32665546;20118271;11897309;2844000;3751000;3725000;2029000
Shaanxi;37327378;2.8;35365072;32882403;28904423;20766915;15881281;10011000;9780000;11802000;9364000
Fujian;36894216;2.8;34097947;30097274;25931106;16757223;13142721;11143000;11756000;10071000;15849000
Shanxi;35712111;2.7;32471242;28759014;25291389;18015067;14314485;15247000;11601000;12228000;10082000
Guizhou;34746468;2.6;35247695;32391066;28552997;17140521;15037310;10174000;9919000;14746000;9665000
Chongqing;28846170;2.2;30512763;*;*;*;*;986000;*;*;*
Jilin;27462297;2.1;26802191;24658721;22560053;15668663;11290073;6465000;7354000;7635000;5580000
Gansu;25575254;1.9;25124282;22371141;19569261;12630569;12928102;7091000;6716000;6281000;4990000
Inner Mongol;24706321;1.9;23323347;21456798;19274279;12348638;6100104;*;*;*;*
Shanghai;23019148;1.7;16407734;13341896;11859748;10816458;6204417;4630000;3727000;*;*
Xinjiang;21813334;1.6;18459511;15155778;13081681;7270067;4873608;4047000;4360000;2552000;2098000
Beijing;19612368;1.5;13569194;10819407;9230687;7568495;2768149;1722000;1551000;*;*
Tianjin;12938224;1;9848731;8785402;7764141;*;2693831;1773000;1218000;*;*
Hainan;8671518;0.7;7559035;6557482;*;*;*;*;*;*;*
Xianggang;7061200;;6708389;*;*;*;*;*;*;*;*
Ningxia;6176900;0.5;5486393;4655451;3895578;*;*;759000;978000;1450000;303000
Qinghai;5626722;0.5;4822963;4456946;3895706;2145604;1676534;1308000;1196000;619000;368000
Xizang;3002166;0.2;2616329;2196010;1892393;1251225;1273969;1000000;372000;372000;1160000
Aomen;552300;;431500;*;*;*;*;*;*;*;*
Taiwan;23162000;;;;;;;;;;
